"time","timeup","contribution","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2810,"false",12,"true","291701035534736",3,2,2,1575731712179,"room000076"
4554,"false",8,"true","994776234377476",3,2,2,1575731713661,"room000076"
5294,"false",10,"true","646826095741922",3,2,2,1575731714405,"room000076"
5606,"false",3,"true","850819716488648",3,2,2,1575731714712,"room000076"
