"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp","session"
292,"false","true","178369762811478",3,1,4,1575713926546,"room000072"
599,"false","true","750444838209605",3,1,4,1575713927050,"room000072"
1398,"false","true","732399557973950",3,1,4,1575713927650,"room000072"
1417,"false","true","855035462358934",3,1,4,1575713927673,"room000072"
