"time","timeup","contribution","demamd","done","player","stage.stage","stage.step","stage.round","timestamp","session"
970,"false",1,17,"true","732399557973950",3,2,1,1575713872629,"room000072"
2769,"false",13,14,"true","178369762811478",3,2,1,1575713874429,"room000072"
4855,"false",19,8,"true","855035462358934",3,2,1,1575713876520,"room000072"
12680,"false",2,"NA","true","750444838209605",3,2,1,1575713884691,"room000072"
