"time","timeup","contribution","demamd","done","player","stage.stage","stage.step","stage.round","timestamp","session"
842,"false",0,12,"true","732399557973950",3,2,3,1575713921360,"room000072"
2161,"false",6,10,"true","855035462358934",3,2,3,1575713922680,"room000072"
2315,"false",1,"NA","true","750444838209605",3,2,3,1575713923206,"room000072"
4082,"false",15,16,"true","178369762811478",3,2,3,1575713924600,"room000072"
